Step,Velocity
0,2.6645352591003757e-15
1,1.7763568394002505e-15
2,8.881784197001252e-16
3,3.552713678800501e-15
4,1.7763568394002505e-15
5,0.0
6,8.881784197001252e-16
7,0.0
8,1.7763568394002505e-15
9,8.881784197001252e-16
10,8.881784197001252e-16
11,1.7763568394002505e-15
12,0.0
13,0.0
14,0.0
15,1.7763568394002505e-15
16,2.6645352591003757e-15
17,0.0
18,0.0
19,0.0
20,1.7763568394002505e-15
21,1.7763568394002505e-15
22,8.881784197001252e-16
23,0.0
24,1.7763568394002505e-15
25,1.7763568394002505e-15
26,8.881784197001252e-16
27,8.881784197001252e-16
28,8.881784197001252e-16
29,8.881784197001252e-16
30,0.0
31,8.881784197001252e-16
32,8.881784197001252e-16
33,0.0
34,2.6645352591003757e-15
35,8.881784197001252e-16
36,0.0
37,8.881784197001252e-16
38,1.7763568394002505e-15
39,8.881784197001252e-16
40,8.881784197001252e-16
41,0.0006709737993793041
42,0.0026762474382753254
43,0.0004227623098138622
