Step,Velocity
0,0.0
1,1.7763568394002505e-15
2,8.881784197001252e-16
3,8.881784197001252e-16
4,8.881784197001252e-16
5,2.6645352591003757e-15
6,1.7763568394002505e-15
7,8.881784197001252e-16
8,0.0
9,8.881784197001252e-16
10,0.0
11,0.0
12,8.881784197001252e-16
13,8.881784197001252e-16
14,1.7763568394002505e-15
15,1.7763568394002505e-15
16,0.0
17,1.7763568394002505e-15
18,3.552713678800501e-15
19,1.7763568394002505e-15
20,0.0
21,1.7763568394002505e-15
22,2.6645352591003757e-15
23,0.0
24,1.7763568394002505e-15
25,8.881784197001252e-16
26,8.881784197001252e-16
27,8.881784197001252e-16
28,0.0
29,1.7763568394002505e-15
30,2.6645352591003757e-15
31,1.7763568394002505e-15
32,8.881784197001252e-16
33,8.881784197001252e-16
34,8.881784197001252e-16
35,3.552713678800501e-15
36,2.6645352591003757e-15
37,8.881784197001252e-16
38,0.0
39,2.6645352591003757e-15
40,8.881784197001252e-16
41,0.00022278961689092824
42,0.0007852746188019566
43,0.000305912801981556
