Step,Velocity
0,8.881784197001252e-16
1,0.0
2,0.0
3,8.881784197001252e-16
4,8.881784197001252e-16
5,8.881784197001252e-16
6,0.0
7,1.7763568394002505e-15
8,1.7763568394002505e-15
9,8.881784197001252e-16
10,8.881784197001252e-16
11,8.881784197001252e-16
12,1.7763568394002505e-15
13,1.7763568394002505e-15
14,0.0
15,0.0
16,0.0
17,8.881784197001252e-16
18,1.7763568394002505e-15
19,0.0
20,2.6645352591003757e-15
21,1.7763568394002505e-15
22,1.7763568394002505e-15
23,2.6645352591003757e-15
24,2.6645352591003757e-15
25,8.881784197001252e-16
26,8.881784197001252e-16
27,1.7763568394002505e-15
28,8.881784197001252e-16
29,8.881784197001252e-16
30,8.881784197001252e-16
31,1.7763568394002505e-15
32,0.0
33,0.0
34,1.7763568394002505e-15
35,8.881784197001252e-16
36,1.7763568394002505e-15
37,2.6645352591003757e-15
38,1.7763568394002505e-15
39,8.881784197001252e-16
40,8.881784197001252e-16
41,0.002671646955051621
42,0.006334886561887743
43,0.010341526103627707
44,0.014349469230617196
45,0.018443190319143987
46,0.020825820434132503
47,0.022064047055851077
48,0.022123692772550108
49,0.022182291961577505
50,0.022399986500617253
51,0.022396362856362373
52,0.02238964495524076
53,0.02238292906918815
54,0.022392141211434513
55,0.022411291357474106
56,0.02241795426906812
57,0.022369296974638075
58,0.022252892936008628
59,0.02165607283527038
60,0.01935499621093939
61,0.018088434906826656
62,0.017489618907811533
63,0.01690312643556169
64,0.016447422754530372
65,0.016115013769432807
66,0.015846703051087374
67,0.015685805629020777
68,0.015482251101978761
69,0.015298203498714358
70,0.015081085678143147
71,0.014760296717835963
72,0.01435277263263579
73,0.014027340956042522
74,0.013757387213201078
75,0.013406852347708664
76,0.013097529046360634
77,0.012754943057228907
78,0.012456165492951143
79,0.01209819349915886
80,0.011780984656731164
81,0.011463918401663165
82,0.01113566823033274
83,0.010761083979454966
84,0.010438358671580161
85,0.010168146422425473
86,0.009811893542725159
87,0.009460135134407466
88,0.009157056308941591
89,0.008844534705119145
90,0.008495708854985295
91,0.008202164703027037
92,0.007930237998204248
93,0.007663152142784568
94,0.007397657100816524
95,0.007105284929978417
96,0.006825942395811246
97,0.006550269301426326
98,0.006284735013824871
99,0.006074846728803429
100,0.005821324662955263
101,0.005583836811356768
102,0.005383682300960757
103,0.005184450650113526
104,0.0049859811195887005
105,0.004792603832537878
106,0.00459127853305219
107,0.004400478520284246
108,0.004214542993825177
109,0.0040714325866906265
110,0.003889383423567594
111,0.0037205663067885197
112,0.0035768535305900073
113,0.003416497947949182
114,0.003279860909847443
115,0.0031557327116420453
116,0.0030029941500577806
117,0.0028710733204357908
118,0.002748775385894575
119,0.0026336740069163866
120,0.002527386761367545
121,0.0024227491282848845
122,0.002333260665555059
123,0.0022387877468270645
124,0.002145957518181696
125,0.002072895829995147
126,0.0019888252221775815
127,0.001916067008854938
128,0.0018368545366254097
129,0.0017675029020409738
130,0.001695652576709783
131,0.0016289852888382583
132,0.0015715294168892058
133,0.0015116881978274321
134,0.0014473276661455259
135,0.0014077479091794132
136,0.0013382013072780197
137,0.0012784329946535777
138,0.0012320208766611884
139,0.0011803706568294103
140,0.0011208556533883751
141,0.0010663724900732419
142,0.001019883999068938
143,0.0009720307609271117
144,0.0009221703680415416
145,0.0008901977944990591
146,0.0008519379570275376
147,0.000820863182093845
148,0.000784555169772716
149,0.0007545413810694512
150,0.0007194248282447191
151,0.0006801378487493182
152,0.0006388130765593303
153,0.000614204728857537
154,0.0005821962277279269
155,0.0005495336355441083
156,0.0005240939034543146
157,0.0004992534803749393
158,0.0004801502626916587
159,0.0004563622609525808
160,0.00043065991966528827
161,0.0004193311775031461
162,0.0004028295650071456
163,0.00038247688504711164
164,0.00036195597402421953
165,0.00035363777109331807
166,0.0003386589655862693
167,0.00031602411971132227
168,0.00030207371051371723
169,0.00027876787241787326
170,0.00026616361878950556
171,0.0002565945608941078
172,0.0002486598372186677
173,0.00023919157280172243
174,0.00022706428780683297
175,0.00020951743775032838
176,0.00020126699931832803
177,0.00018975294582279645
178,0.00018244323313432176
179,0.00016902324813283798
180,0.00016421117623632853
181,0.00015609813603578715
182,0.0001422247101272589
183,0.0001391790070419674
184,0.00013693503792655548
185,0.0001146965809040168
186,0.00011425108774076875
187,0.0001080549186172064
188,0.00010260798937444804
189,0.00010275319681962714
190,9.947340482607814e-05
191,9.167258106579368e-05
192,9.478666288753601e-05
193,9.156608963323265e-05
194,8.956661197867533e-05
195,9.641171363217182e-05
196,9.459676131839956e-05
197,8.916144991655273e-05
198,8.99643155172214e-05
199,8.351017800922733e-05
200,7.4409557925037e-05
201,7.757368201843917e-05
202,6.988710203703619e-05
203,6.399154112557426e-05
204,6.324363946941247e-05
205,6.17359357972802e-05
206,5.475210087357851e-05
207,6.414996196912881e-05
208,5.62914812842763e-05
209,5.049091269526684e-05
210,5.817587001022417e-05
211,5.136647723880117e-05
212,5.40499042900322e-05
213,4.9729790130292884e-05
214,4.737153210143674e-05
215,5.502228336595749e-05
216,4.54550076982585e-05
217,4.398238339575755e-05
218,3.67733568999995e-05
219,3.962312323313455e-05
220,3.646885895225438e-05
221,3.303853878655616e-05
222,3.231021924499089e-05
223,2.9501326626935054e-05
224,2.143864567827336e-05
225,2.184431011809096e-05
226,1.6337875819338876e-05
227,5.495820183831768e-06
228,9.996751241025947e-06
229,1.0415062932089825e-05
230,1.06548337743817e-05
231,1.9859722000248325e-06
232,5.561607929749357e-07
233,3.3607692317971782e-06
234,2.996757100248715e-07
235,9.115314004048969e-06
236,1.3304390298785052e-05
237,1.93043269351989e-05
238,2.2138624326650813e-05
239,1.4579198966302442e-05
240,2.066645477860618e-05
241,2.2054265827797792e-05
242,3.163899377156554e-05
243,3.659414640377889e-05
244,2.4644119856809255e-05
245,2.1369779136470868e-05
246,2.035242754594435e-05
247,2.2667710785739814e-05
248,1.3472539173164932e-05
249,1.0446251582862942e-05
250,1.9111486952994028e-05
251,1.0864378135799768e-05
252,1.9089726182031086e-06
253,7.660201742254458e-06
254,1.2695874247015126e-05
255,2.242622329617916e-06
256,1.3097956051311144e-05
257,4.183185623674035e-06
258,9.995484154146084e-06
259,1.6273890553364367e-05
260,1.6205437504801523e-05
261,1.0790601542076672e-05
262,2.654664882939528e-05
263,3.74742884892143e-05
264,4.458113176841749e-05
265,5.016001250179869e-05
266,5.842643365649991e-05
267,6.690883928950342e-05
268,5.9059434399877375e-05
269,5.980118122206335e-05
270,5.404725087831963e-05
271,4.914168823511034e-05
272,5.1149351826040856e-05
273,4.310615133018558e-05
274,3.05469705450534e-05
275,3.293474300214427e-05
276,3.241842748025192e-05
277,1.7915649737076933e-05
278,1.3713435842888089e-05
279,1.5023011987302937e-05
280,2.0910056236722596e-05
281,1.6088994467367e-05
282,1.5951521693757797e-05
283,2.0872098165369835e-05
284,2.4334654145974355e-05
285,3.2802131129550105e-05
286,2.831285063642497e-05
287,3.612684597698035e-05
288,4.658140817603851e-05
289,4.998158688529486e-05
290,3.81898540222636e-05
291,3.38145243423682e-05
292,3.126176923640145e-05
293,3.637916304644051e-05
294,2.869596395171925e-05
295,2.1127186490055294e-05
296,2.0150416436770513e-05
297,2.5374036238368092e-05
298,2.2768543395557117e-05
299,2.0647093781356318e-05
300,1.0758639660934932e-05
301,7.156486792503358e-06
302,3.0753733293309438e-06
303,2.610880959430517e-06
304,4.617212003843463e-06
305,2.809042820572927e-07
306,8.508058659373319e-06
307,1.3268958626078131e-05
308,5.869170641936705e-06
309,6.430717416350262e-07
310,1.5506531632070164e-06
311,4.369246701330098e-06
312,4.622483237071151e-06
313,1.0692680737278693e-05
314,1.1809442676202764e-05
315,1.2794309948382931e-05
316,1.754253387975524e-05
317,2.076608009016212e-05
318,1.6535480476420616e-05
319,6.393168225926615e-06
320,5.126870018301588e-06
321,3.950561088927884e-06
322,4.497707870143586e-06
323,7.253585554423125e-08
324,2.7191615528110447e-06
325,1.575064478132049e-05
326,2.3409825784526106e-05
327,1.4821592720259957e-05
328,1.4884856073926755e-05
329,1.271825104343094e-05
330,1.2139305325398198e-05
331,9.221147410087838e-07
332,7.721179601460904e-06
333,8.535964497013993e-06
334,3.0695560058191518e-06
335,4.246325850942867e-07
336,3.4590951738522335e-06
337,4.38819485282238e-06
338,1.4860555506146511e-06
339,2.5293908452184155e-06
340,3.9293780407234635e-07
341,9.948952198080008e-06
342,1.3944490672379573e-05
343,1.6330088012495025e-05
344,1.0114380904369114e-05
345,2.387099853340402e-05
346,2.2374560361804186e-05
347,2.4060117268298598e-05
348,3.263860250513062e-05
349,3.78234126880983e-05
350,3.640147673333871e-05
351,3.507618210285557e-05
352,3.748772627609753e-05
353,3.6450128751752686e-05
354,4.010540730181589e-05
355,4.931649276507244e-05
356,4.87773135882108e-05
357,5.132707618837884e-05
358,5.0899408794435885e-05
359,4.9275876897958426e-05
360,4.958026367418711e-05
361,5.1918888555491094e-05
362,5.4130738091018316e-05
363,5.263278064671084e-05
364,5.5931904622497086e-05
365,4.662327247206832e-05
366,5.022227322371009e-05
367,6.739451081205772e-05
368,6.342432144634813e-05
369,5.6548878331952324e-05
370,5.530192107361387e-05
371,6.227376419420949e-05
372,6.45481226078104e-05
373,5.6994668243603996e-05
374,5.240581294430058e-05
375,6.163386602153764e-05
376,6.0956459322802914e-05
377,5.2446145911488884e-05
378,5.862277783919012e-05
379,4.5952717780295416e-05
380,3.386253651971316e-05
381,2.383953144313722e-05
382,2.3123674789182758e-05
383,1.047321869052098e-05
384,1.5556914382486298e-05
385,2.9006290965583048e-05
386,2.9418263214786577e-05
387,2.896122093964948e-05
388,2.8647977076801112e-05
389,3.8274159166462596e-05
390,4.327471584986142e-05
391,5.2622058666962346e-05
392,5.354633086795957e-05
393,5.438055443374168e-05
394,5.1304483038805415e-05
395,5.576122698425223e-05
396,5.974598665936526e-05
397,6.139745056721324e-05
398,4.69761185364348e-05
399,5.0237979714928827e-05
400,5.523466278756217e-05
401,5.81761428382066e-05
402,5.750873294640968e-05
403,5.5391871934595827e-05
404,4.694328846710505e-05
405,4.1038024477302315e-05
406,4.167836751634013e-05
407,4.329711178030493e-05
408,4.0997257399588705e-05
409,3.6430011153498754e-05
410,3.38896777867248e-05
411,4.202658021945638e-05
412,3.335418732852702e-05
413,2.7443789157644005e-05
414,2.1565679041657404e-05
415,2.4710683672601874e-05
416,1.8767497015126366e-05
417,2.8527644065690083e-05
418,3.950615797787549e-05
419,4.080734384892537e-05
420,2.6736897596357778e-05
421,1.9539248770961137e-05
