Generation,Fitness
0,0.34331438131348957
1,0.40432949441752
2,-0.03125115490859098
3,0.40432949441752
4,0.23433311883093122
5,0.40432949441752
6,0.30667529027472185
7,0.40432949441752
8,0.4442714914415804
9,0.5282983406226922
10,0.5282983406226922
11,0.5282983406226922
12,0.5282983406226922
13,0.5282983406226922
14,0.42242900586223175
15,0.5282983406226922
16,0.4442714914415804
17,0.5282983406226922
18,0.5282983406226922
19,0.5282983406226922
20,0.5282983406226922
21,0.5177786927904942
22,0.5282983406226922
23,0.5282983406226922
24,0.5282983406226922
25,0.5282983406226922
26,0.4243019349019548
27,0.5282983406226922
28,0.5282983406226922
29,0.23304880368748648
30,0.5282983406226922
31,0.5282983406226922
32,0.5282983406226922
33,0.44061242419021607
34,0.5761692517867552
35,0.5761692517867552
36,0.8343862197611518
37,0.8067223921938318
38,0.4442714914415804
39,0.8343862197611518
40,0.5626223311901644
41,0.6612328363273834
42,0.4442714914415804
43,0.8343862197611518
44,0.8343862197611518
45,0.8343862197611518
46,0.8222780528477482
47,0.717434916980368
48,0.4442714914415804
49,0.8343862197611518
50,0.7883383694278407
51,0.4442714914415804
52,0.5612818742014412
53,0.5459756717276418
54,0.8343862197611518
55,0.8343862197611518
56,0.7284752491199509
57,0.8343862197611518
58,0.8343862197611518
59,0.8343862197611518
60,0.4747848727148698
61,0.12803549032881278
62,0.8343862197611518
63,0.8343862197611518
64,0.7803282156468203
65,0.8343862197611518
66,0.8343862197611518
67,0.4442714914415804
68,0.8343862197611518
69,0.8343862197611518
70,0.4442714914415804
71,0.8343862197611518
72,0.8343862197611518
73,0.7108482730524157
74,0.8067223921938318
75,0.8343862197611518
76,0.8343862197611518
77,0.8343862197611518
78,0.8343862197611518
79,0.8338107078999437
80,0.8343862197611518
81,0.8343862197611518
82,0.8343862197611518
83,-0.7997014021631745
84,0.8343862197611518
85,0.8343862197611518
86,0.8343862197611518
