Generation,Fitness
0,0.5943790692525557
1,0.636753539074773
2,0.40108164956796255
3,0.19521626640721124
4,0.8034229933107504
5,0.8034229933107504
6,0.503665274940384
7,1.1079986900987118
8,0.7828750687653514
9,1.3233642769396177
10,0.5211634208709874
11,0.9005480321180919
12,0.7485804001685166
13,0.41272189190265696
14,0.5980970716391392
15,1.3233642769396177
16,0.4252776231088973
17,0.809103884800261
18,0.683669689570297
19,0.7485804001685166
20,0.5191962613093306
21,1.3062046235589984
22,1.1213348146531494
23,0.7604442139643801
24,1.3233642769396177
25,1.3233642769396177
26,1.3233642769396177
27,0.29220226262089355
28,1.3233642769396177
29,1.0330854679263064
30,1.1910655093791558
31,1.261230289518072
32,1.3233642769396177
33,1.2432041545838448
34,1.3233642769396177
35,0.7784368513101327
36,0.41272189190265696
37,0.7485804001685166
38,1.1633088391899173
39,1.3233642769396177
40,0.6515969892286773
41,0.7485804001685166
42,0.6938263100506044
43,1.2295645923820029
44,1.1542090837393477
45,1.0098619913197382
46,0.41272189190265696
47,1.3861235040877515
48,0.7123702976062782
49,1.104558192973756
50,1.2041934036615558
51,0.9445374872603756
52,0.9314668168982578
53,0.812293952608564
54,1.3861235040877515
55,1.3042935702968323
56,1.0813260283310289
57,1.8302543161126925
58,1.8302543161126925
59,1.863290799493993
60,-0.28217957211998446
61,1.7476866127393027
62,1.665551834002816
63,1.6130107959619844
64,1.2320769221662164
65,0.8834093872808353
66,0.8834093872808353
67,1.2785535450728958
68,1.6130107959619844
69,1.35785933820749
70,0.8613245596940038
71,1.2828051096657092
72,1.863290799493993
73,-0.26353128070951115
74,1.6387033949009133
75,1.761617032309669
76,1.863290799493993
77,1.66798754424026
78,0.8547927836933509
79,1.6798074954481237
80,1.863290799493993
81,1.7816734634162446
82,1.0516432240886768
83,1.665551834002816
84,1.863290799493993
85,1.4290273676337382
86,1.6798074954481237
87,0.9153269678451927
88,1.4343824669354905
89,1.8351580158100784
90,0.8834093872808353
91,1.7816734634162446
92,0.7779963114021209
93,0.8310581015362484
94,1.665551834002816
95,1.2157731003999457
96,1.863290799493993
97,1.863290799493993
98,1.7647994599144763
99,0.6576073504779334
100,0.9736733567593552
101,0.3533637373772418
102,1.761617032309669
103,1.440019861096971
104,1.376806232763938
105,0.8142404911481798
106,1.8588491986827496
107,0.7548756114113324
108,-0.7027161685442262
109,1.0893084366059922
