generation,best_fitness,frequency0,amplitude0,phase_offset0,frequency1,amplitude1,phase_offset1,frequency2,amplitude2,phase_offset2,frequency3,amplitude3,phase_offset3,frequency4,amplitude4,phase_offset4,frequency5,amplitude5,phase_offset5,frequency6,amplitude6,phase_offset6,frequency7,amplitude7,phase_offset7
0,97.4842379980771,0.693364483880254,-0.340170148771526,-2.04876335401735,1.46148418997425,0.552720104276942,-3.45857596641691,0.167400163643446,1.86998438606133,0.796568109021156,1.27578570951435,0.66495652149577,1.75277816115547,-0.656894763528409,1.59944707961623,4.15010985148122,-0.703952899498696,0.737836681189769,0.972287545318636,5.93821253919356,-2.29586119987431,0.867838259328035,-2.61935577688848,0.976452664688309,1.80644042057211
1,96.8378122029921,-3.90016825222142,0.02744408286625,-3.38097538812559,0.316197228399479,2.25159991214842,-2.72362174551294,-3.41871788339598,3.66070366972439,1.36424264609712,1.84478616947126,4.37985559880287,-0.756747180612425,-5.06756167156207,1.09783554176556,1.5552184162398,-1.77002266773578,1.88207546226518,4.23552472860375,0.713074332684286,-0.654529753196182,0.276930447908775,-1.45062545002933,-1.42824307619689,2.33856471391018
2,97.3854947185416,-0.958759133370515,-2.09301055684142,-3.18090222981776,0.56786778795888,-1.2647271508224,-1.92039217746002,-0.300222511849721,4.96696473762277,2.3986855255517,1.82899817853046,1.02101265124726,0.662594564993864,0.448666054268231,5.51363914920035,1.65463797023306,1.66261690063086,-0.533658683767635,3.47837166052575,3.2720426412576,-0.385166164478706,2.09085322405149,-1.72553398157815,3.14020858542859,3.85684980873571
3,95.4426952431729,0.007512369683883,0.017871321639303,-0.801389318560624,3.75244721135613,-0.860074255646233,-3.23497663970143,-1.55333297097739,6.02446473968789,1.6287299456803,4.05428543551985,-0.266427482835613,0.360570438087862,-1.78364235422695,1.47418049598422,3.70177299214084,0.793916688858206,-0.372616034149182,4.9241728792986,3.39764702208659,3.11054505143262,0.300033885739557,0.421092184922802,0.386102598129406,3.36823544545446
4,96.3413725731751,-2.89395168532995,-2.04403332101053,2.13395783047817,3.06992562509853,-0.53947093509567,-1.53276126380113,-0.40719869429911,4.80340316640582,0.708134414777249,0.526686556283105,1.4074347275381,-3.15952562728331,-3.20918151128933,-0.324453880208983,-0.817297283518359,-0.465251731668763,-2.65458695513242,0.182769327924963,1.9715003323864,3.33443510514207,-2.97479169171125,-3.7756127729865,-1.38647430319104,5.00450130281223
5,96.3388742241004,-0.613495987807271,-3.42685463725341,-2.53397142596914,3.09373957628344,-1.60486867147025,-1.78302695855665,-0.85091927107622,9.64415238376299,-1.07281660930115,2.87158744810567,1.9182289264977,-0.994267646164812,-5.04517657753468,-0.826372811099572,-0.642907460663111,-2.26425448075501,0.226992428264163,1.58020296647133,3.45748692606332,4.63961648827496,0.380011261910677,-0.984694782727277,-0.319098679064684,3.16940514497046
6,95.7196311556347,2.95756313318585,-1.04002736151675,-0.081952582954667,1.41030614753656,1.37343241270566,-3.20296119614191,-1.60177178564157,3.82154548929836,0.333647844709203,4.3351475403255,1.25778311015075,1.94198655433187,-1.97678194952059,-2.25144427987947,0.951596961579714,-2.24321229282134,-1.71851229978782,3.07137336958904,3.40314614006112,4.55179789694318,0.950072159090221,-1.1240747282351,0.262836315581094,0.166826211100518
7,95.235274815131,1.14797894537083,-0.885295062726172,-1.76950338610709,1.90760207532179,2.73991857015979,1.13170094483729,-2.22623755807509,4.98997339412614,2.02674704421828,3.12112517031458,4.28701940016537,2.28617148441617,-2.35032581268622,0.969514688659162,3.81325867105494,-0.481827065840303,0.674620624625927,4.87127027805935,2.38206294638061,2.55397650321939,-1.00953055384492,1.31972001247097,-0.321205267601809,1.71237831240907
8,96.7198066568772,0.093104553165865,-1.83234126286092,1.04577359011754,1.56335837708294,2.03275837438861,-4.55820649047904,-2.14392323788105,5.65030945872537,-0.127792700452038,0.772294462733022,2.88959131993907,3.12724245426403,-2.36691646283128,2.81109772651553,0.968134652229886,-1.37172874012189,-2.70540667286157,-0.334656177926194,1.48804218713431,1.75200329469668,-1.69517019862132,-1.77200220624019,-1.33315577463805,3.49375009748936
9,97.4114199353346,-1.56015125148955,-1.56454319820512,0.965309813056785,4.64620233988925,-0.006672331687634,0.201317140460346,-0.509073402329818,5.77767949398386,-0.747246819758959,0.799827206381055,4.21137548621956,2.59054108212665,-1.65420512555272,-1.60803340957736,3.03835316130038,-2.22247262663993,-2.4676475825952,3.11048830301608,4.26543449826282,0.99224430205904,0.075047982674443,-2.09237624947871,-5.84104484594908,4.86029028100913
