Step,Velocity
0,8.881784197001252e-16
1,1.7763568394002505e-15
2,0.0
3,8.881784197001252e-16
4,8.881784197001252e-16
5,0.0
6,0.0
7,8.881784197001252e-16
8,8.881784197001252e-16
9,0.0
10,0.0
11,0.0
12,1.7763568394002505e-15
13,8.881784197001252e-16
14,8.881784197001252e-16
15,8.881784197001252e-16
16,1.7763568394002505e-15
17,8.881784197001252e-16
18,8.881784197001252e-16
19,8.881784197001252e-16
20,8.881784197001252e-16
21,8.881784197001252e-16
22,1.7763568394002505e-15
23,2.6645352591003757e-15
24,1.7763568394002505e-15
25,1.7763568394002505e-15
26,0.0
27,1.7763568394002505e-15
28,1.7763568394002505e-15
29,8.881784197001252e-16
30,8.881784197001252e-16
31,1.7763568394002505e-15
32,8.881784197001252e-16
33,1.7763568394002505e-15
34,1.7763568394002505e-15
35,2.6645352591003757e-15
36,1.7763568394002505e-15
37,0.0
38,8.881784197001252e-16
39,0.0
40,0.0
41,0.0016968288178729196
42,0.0004915283004756077
